pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmasse,pl_rade,pl_dens,pl_eqt,st_teff,st_rad,st_mass,st_lum,st_age,st_met,st_spectype
Kepler-6 b,Kepler-6,1,1,Transit,2009.0,3.2346996,0.04852,,212.31044,14.616536,0.4,1460.0,5647.0,1.391,1.209,,,0.34,
Kepler-491 b,Kepler-491,1,1,Transit,2016.0,4.225384512,,,,8.92,,,5582.0,1.03,1.04,,4.47,0.37,
Kepler-257 b,Kepler-257,1,3,Transit,2014.0,2.382667,0.034,,,2.61,,,5180.0,1.037,,,,,
Kepler-216 b,Kepler-216,1,2,Transit,2014.0,7.693641,0.079,,,2.35,,,6091.0,1.26,,,,,
Kepler-32 c,Kepler-32,1,5,Transit,2011.0,8.7522,0.09,,158.9,2.0,,,3900.0,0.53,0.58,,,0.0,
Kepler-259 c,Kepler-259,1,2,Transit,2014.0,36.924931,0.217,,,2.7,,,5938.0,0.898,,,,,
Kepler-148 c,Kepler-148,1,3,Transit,2014.0,4.180043,0.05,,,3.6,,,5272.0,0.851,,,,,
Kepler-222 d,Kepler-222,1,3,Transit,2014.0,28.081912,0.18,,,3.69,,,5433.0,0.869,,,,,
Kepler-29 c,Kepler-29,1,2,Transit,2011.0,13.28613,,0.0,4.5,2.34,1.91,,5378.0,0.732,0.761,,,-0.44,
Kepler-179 b,Kepler-179,1,2,Transit,2014.0,2.735926,0.036,,,1.64,,,5302.0,0.759,,,,,
Kepler-165 c,Kepler-165,1,2,Transit,2014.0,15.31299,0.11,,,2.23,,,5211.0,0.77,,,,,
Kepler-228 c,Kepler-228,1,3,Transit,2014.0,4.134444,0.052,,,2.7,,,6043.0,1.014,,,,,
Kepler-20 c,Kepler-20,2,6,Transit,2011.0,10.8540774,0.0936,0.076,11.1,2.894,2.51,828.0,5495.0,0.9164,0.929,,5.6,0.07,
Kepler-166 d,Kepler-166,1,3,Transit,2016.0,1.554003928,,,,1.73,,,5350.0,0.83,0.88,,4.47,-0.03,
Kepler-52 b,Kepler-52,1,3,Transit,2012.0,7.8773565,,,135.0,2.1,,,4075.0,0.52,0.54,,,,
Kepler-197 d,Kepler-197,2,4,Transit,2014.0,15.677563,0.119,,,1.22,,,6004.0,1.12,,,,,
K2-183 d,K2-183,1,3,Transit,2018.0,22.620344,,,,2.3,,,5482.0,0.87,,,,0.09,
K2-187 e,K2-187,1,4,Transit,2018.0,13.606629,,,,1.9,,,5438.0,0.83,,,,0.0,
K2-187 c,K2-187,1,4,Transit,2018.0,2.871512,,,,1.4,,,5438.0,0.83,,,,0.0,
K2-270 b,K2-270,1,2,Transit,2018.0,1.543069,0.0247,,,1.38,,1203.0,4877.0,0.77,0.85,,,0.26,
Kepler-184 d,Kepler-184,1,3,Transit,2014.0,29.022358,0.179,,,2.49,,,5788.0,0.873,,,,,
Kepler-257 d,Kepler-257,1,3,Transit,2014.0,24.664551,0.16,,,4.95,,,5180.0,1.037,,,,,
K2-280 b,K2-280,1,1,Transit,2018.0,19.89526,0.1461,0.35,37.1,7.5,0.48,787.0,5500.0,1.28,1.03,,8.96,0.33,
K2-381 c,K2-381,1,3,Transit,2022.0,16.034656,,,,2.0,,,4473.0,0.675,0.754,,,-0.244,
Kepler-222 c,Kepler-222,1,3,Transit,2014.0,10.08881,0.091,,,4.64,,,5433.0,0.869,,,,,
HATS-36 b,HATS-36,1,1,Transit,2018.0,4.175186,0.0523,,,12.92,,1203.0,5950.0,1.1,1.1,,,0.15,
Kepler-229 b,Kepler-229,1,3,Transit,2014.0,6.252972,0.062,,,2.2,,,5120.0,0.728,,,,,
K2-222 b,K2-222,1,1,Transit,2018.0,15.38857,0.1206,0.16,8.7,2.35,3.68,871.0,5942.0,1.115,0.989,,7.1,-0.315,
K2-214 b,K2-214,1,1,Transit,2018.0,8.59656,,,,2.51,,1001.0,5875.0,1.236,1.03,,,0.04,
K2-220 b,K2-220,1,1,Transit,2018.0,13.68186,,,,2.37,,761.0,5612.0,1.026,0.91,,,-0.05,
K2-216 b,K2-216,1,1,Transit,2018.0,2.1748,0.028,0.0,8.0,1.75,8.2,1103.0,4503.0,0.72,0.7,-0.72125,,0.0,K5 V
