pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmasse,pl_rade,pl_dens,pl_eqt,st_teff,st_rad,st_mass,st_lum,st_age,st_met,st_spectype,escape_velocity,stellar_flux,hz_inner,hz_outer,in_hz,orbit_stability,is_rocky,esi,spectral_suitability,stellar_suitability,habitability_score
Kepler-6 b,Kepler-6,1,1,Transit,2009.0,3.2346996,0.04852,,212.31044,14.616536,0.4,1460.0,5647.0,1.391,1.209,0.2884920530127017,,0.34,,42.6856075896367,825.3734004348157,1.391344267186692,2.3807951137103682,0.0,0.0,0.0,0.06902961992737545,0.9111714294319927,0.9998140784855822,0.2766866238340253
Kepler-491 b,Kepler-491,1,1,Transit,2016.0,4.225384512,,,,8.92,,,5582.0,1.03,1.04,0.05961668754573131,4.47,0.37,,,,1.0718705921645124,1.839620828263334,,,0.0,,0.9274911744162472,0.9989932291799144,0.14412881999589378
Kepler-257 b,Kepler-257,1,3,Transit,2014.0,2.382667,0.034,,,2.61,,1261.7915513283344,5180.0,1.037,,,,,,,,,,,,0.0,,0.9928258579038134,,0.07942606863230507
Kepler-216 b,Kepler-216,1,2,Transit,2014.0,7.693641,0.079,,,2.35,,1072.9222758427065,6091.0,1.26,,,,,,,,,,,,0.0,,0.7675843610459832,,0.061406748883678655
Kepler-32 c,Kepler-32,1,5,Transit,2011.0,8.7522,0.09,,158.9,2.0,109.442375,417.4353488934465,3900.0,0.53,0.58,-0.8280020225297196,,0.0,,99.83089702091232,18.344799039892823,0.4138672575122858,0.7794213313974699,0.0,0.0,1.0,0.2590184195705209,0.7642281651714905,0.9088770389851438,0.38251301727877923
Kepler-259 c,Kepler-259,1,2,Transit,2014.0,36.924931,0.217,,,2.7,,532.7904483684073,5938.0,0.898,,,,,,,,,,,,0.0,,0.8224061642337682,,0.06579958132058289
Kepler-148 c,Kepler-148,1,3,Transit,2014.0,4.180043,0.05,,,3.6,,959.3191526689245,5272.0,0.851,,,,,,,,,,,,0.0,,0.983693524889382,,0.07869548199115056
Kepler-222 d,Kepler-222,1,3,Transit,2014.0,28.081912,0.18,,,3.69,,526.5277637559353,5433.0,0.869,,,,,,,,,,,,0.0,,0.9591918017973435,,0.07674657695440917
Kepler-29 c,Kepler-29,1,2,Transit,2011.0,13.28613,,0.0,4.5,2.34,1.91,,5378.0,0.732,0.761,-0.4151537013029951,,-0.44,,15.531605494306413,,0.6257030610364395,1.0842669850029918,,,0.0,,0.9687468014975299,0.9838570946252947,0.2663697406581559
Kepler-179 b,Kepler-179,1,2,Transit,2014.0,2.735926,0.036,,,1.64,,1073.7849104828783,5302.0,0.759,,,,,,,,,,,,0.0,,0.9799364507872741,,0.07839491606298193
Kepler-165 c,Kepler-165,1,2,Transit,2014.0,15.31299,0.11,,,2.23,,608.1042363040276,5211.0,0.77,,,,,,,,,,,,0.0,,0.9901552246627329,,0.07921242986749416
Kepler-228 c,Kepler-228,1,3,Transit,2014.0,4.134444,0.052,,,2.7,,1177.0037205153199,6043.0,1.014,,,,,,,,,,,,0.0,,0.7852570031586232,,0.06282056025268987
Kepler-20 c,Kepler-20,2,6,Transit,2011.0,10.8540774,0.0936,0.076,11.1,2.894,2.51,828.0,5495.0,0.9164,0.929,-0.11194500102225377,5.6,0.07,,21.93462675145486,88.20705076007944,0.8828736046933923,1.5214158081844584,0.0,0.0,0.0,0.26202014950767594,0.9470058579669858,0.9969513405697762,0.31795109237877817
Kepler-166 d,Kepler-166,1,3,Transit,2016.0,1.554003928,,,,1.73,,,5350.0,0.83,0.88,-0.19431064747440976,4.47,-0.03,,,,0.807769364678257,1.4016588606065705,,,0.0,,0.973144963058051,0.995033198349943,0.1475039209291401
Kepler-52 b,Kepler-52,1,3,Transit,2012.0,7.8773565,,,135.0,2.1,80.32069970845481,,4075.0,0.52,0.54,-0.9366218406196101,,,,89.79977728257458,,0.36248781356880433,0.6749824851612782,,,1.0,,0.826844286483795,0.8698915256370023,0.3270399497132938
Kepler-197 d,Kepler-197,2,4,Transit,2014.0,15.677563,0.119,,,1.22,,812.426629088939,6004.0,1.12,,,,,,,,,,,,1.0,,0.7993122923650509,,0.14394498338920408
