pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmasse,pl_rade,pl_dens,pl_eqt,st_teff,st_rad,st_mass,st_lum,st_age,st_met,st_spectype,escape_velocity,stellar_flux,hz_inner,hz_outer,in_hz,orbit_stability,is_rocky,esi,spectral_suitability,stellar_suitability,habitability_score,phl_esi,phl_habitable,phl_hz_con,phl_hz_opt,phl_flux,phl_type,phl_type_temp
Kepler-6 b,Kepler-6,1,1,Transit,2009.0,3.2346996,0.04852,,212.31044,14.616536,0.4,1460.0,5647.0,1.391,1.209,0.2884920530127017,,0.34,,42.6856075896367,825.3734004348157,1.391344267186692,2.380795113710368,0.0,0.0,0.0,0.0690296199273754,0.9111714294319928,0.9998140784855822,0.2766866238340253,0.063465396,0.0,0.0,0.0,656.38465,Jovian,Hot
Kepler-491 b,Kepler-491,1,1,Transit,2016.0,4.225384512,,,,8.92,,,5582.0,1.03,1.04,0.0596166875457313,4.47,0.37,,,,1.0718705921645124,1.839620828263334,,,0.0,0.098514734,0.9274911744162472,0.9989932291799144,0.1441288199958937,0.098514734,0.0,0.0,0.0,329.38256,Jovian,Hot
Kepler-257 b,Kepler-257,1,3,Transit,2014.0,2.382667,0.034,,,2.61,,1261.7915513283344,5180.0,1.037,,,,,,,,,,,,0.0,0.2293118,0.9928258579038134,,0.079426068632305,0.2293118,0.0,0.0,0.0,362.27817,Neptunian,Hot
Kepler-216 b,Kepler-216,1,2,Transit,2014.0,7.693641,0.079,,,2.35,,1072.9222758427063,6091.0,1.26,,,,,,,,,,,,0.0,0.24011457,0.7675843610459832,,0.0614067488836786,0.24011457,0.0,0.0,0.0,528.13606,Superterran,Hot
Kepler-32 c,Kepler-32,1,5,Transit,2011.0,8.7522,0.09,,158.9,2.0,109.442375,417.4353488934465,3900.0,0.53,0.58,-0.8280020225297196,,0.0,,99.83089702091232,18.344799039892823,0.4138672575122858,0.7794213313974699,0.0,0.0,1.0,0.2590184195705209,0.7642281651714905,0.9088770389851438,0.3825130172787792,0.43503772,0.0,0.0,0.0,6.3025309,Superterran,Hot
Kepler-259 c,Kepler-259,1,2,Transit,2014.0,36.924931,0.217,,,2.7,,532.7904483684073,5938.0,0.898,,,,,,,,,,,,0.0,0.3015099,0.8224061642337682,,0.0657995813205828,0.3015099,0.0,0.0,0.0,14.930712,Neptunian,Hot
Kepler-148 c,Kepler-148,1,3,Transit,2014.0,4.180043,0.05,,,3.6,,959.3191526689244,5272.0,0.851,,,,,,,,,,,,0.0,0.19513816,0.983693524889382,,0.0786954819911505,0.19513816,0.0,0.0,0.0,165.59987,Neptunian,Hot
Kepler-222 d,Kepler-222,1,3,Transit,2014.0,28.081912,0.18,,,3.69,,526.5277637559353,5433.0,0.869,,,,,,,,,,,,0.0,0.26422929,0.9591918017973436,,0.0767465769544091,0.26422929,0.0,0.0,0.0,14.172778,Neptunian,Hot
Kepler-29 c,Kepler-29,1,2,Transit,2011.0,13.28613,,0.0,4.5,2.34,1.91,,5378.0,0.732,0.761,-0.4151537013029951,,-0.44,,15.531605494306412,,0.6257030610364395,1.0842669850029918,,,0.0,0.26803583,0.96874680149753,0.9838570946252948,0.2663697406581559,0.26803583,0.0,0.0,0.0,42.711115,Superterran,Hot
Kepler-179 b,Kepler-179,1,2,Transit,2014.0,2.735926,0.036,,,1.64,,1073.7849104828783,5302.0,0.759,,,,,,,,,,,,0.0,0.27578142,0.979936450787274,,0.0783949160629819,0.27578142,0.0,0.0,0.0,406.81316,Superterran,Hot
